,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycle_Glass,Recycle_Metal,Recycle_Paper,Recycle_Plastic,Cook_Airfryer,Cook_Grill,Cook_Microwave,Cook_Oven,Cook_Stove
16,normal,male,pescatarian,more frequently,electricity,walk/bicycle,none,often,219,frequently,7,extra large,4,23,42,14,1,2609,0,0,0,0,1,1,1,1,0
17,overweight,female,pescatarian,daily,wood,public,bus,often,104,rarely,948,large,6,1,6,22,2,1565,0,0,1,0,1,1,0,0,1
18,underweight,male,vegan,more frequently,electricity,private,petrol,often,126,very frequently,7622,medium,2,6,37,9,1,5272,0,0,0,0,0,0,0,0,1
19,normal,female,omnivore,more frequently,wood,walk/bicycle,none,often,288,never,51,small,4,15,22,6,0,1220,1,1,1,0,0,0,0,1,1
20,normal,male,vegan,twice a day,electricity,private,electric,often,282,rarely,2237,large,6,0,8,5,0,1300,1,1,0,1,1,1,0,1,0
21,obese,female,pescatarian,less frequently,wood,public,bus,never,69,rarely,1804,large,1,6,3,7,0,1024,0,1,0,0,0,0,1,1,1
22,overweight,male,omnivore,twice a day,wood,walk/bicycle,none,sometimes,110,never,85,small,3,14,4,3,1,706,1,1,1,1,1,1,1,1,1
23,obese,male,vegetarian,daily,coal,private,diesel,often,165,frequently,472,small,4,17,24,20,2,2582,1,0,1,0,0,0,1,0,0
24,overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,2,4284,0,1,1,0,1,1,0,0,0
25,obese,female,pescatarian,less frequently,electricity,walk/bicycle,none,sometimes,94,rarely,88,medium,6,17,0,3,1,807,0,1,1,1,1,1,1,1,1
26,underweight,female,vegan,daily,electricity,public,bus,often,259,frequently,558,large,4,4,50,23,1,1991,0,1,0,0,1,1,0,1,0
27,obese,male,vegetarian,less frequently,electricity,public,bus,sometimes,67,rarely,752,large,3,14,37,14,1,1817,0,0,0,1,0,0,0,0,1
28,obese,male,pescatarian,daily,wood,walk/bicycle,none,never,130,rarely,71,small,2,10,15,10,0,1490,1,0,0,0,1,1,0,1,0
29,underweight,female,omnivore,less frequently,electricity,public,bus,never,258,frequently,1028,small,2,13,44,4,2,1561,1,1,0,0,1,1,1,1,0
30,obese,female,vegan,more frequently,wood,public,bus,sometimes,189,frequently,1527,medium,4,23,34,10,2,2202,1,1,0,0,1,1,1,0,0
31,underweight,female,vegetarian,daily,coal,walk/bicycle,none,sometimes,262,frequently,88,large,5,24,8,15,1,2024,0,0,0,0,1,1,1,0,0
32,normal,female,pescatarian,daily,natural gas,walk/bicycle,none,never,157,frequently,73,medium,4,1,42,22,0,1659,1,1,1,0,1,1,1,1,1
33,normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,1,3911,0,1,1,0,1,1,0,1,1
34,normal,male,vegetarian,twice a day,coal,walk/bicycle,none,sometimes,121,never,72,medium,6,11,4,10,2,1204,1,1,0,0,1,1,1,0,1
35,underweight,female,vegan,less frequently,coal,walk/bicycle,none,often,174,very frequently,9,large,2,1,40,15,2,2431,1,0,1,1,0,0,1,0,1
36,obese,male,vegetarian,daily,electricity,walk/bicycle,none,sometimes,173,frequently,60,medium,2,16,14,20,1,1640,1,0,0,1,0,0,0,0,0
37,underweight,male,vegan,twice a day,natural gas,walk/bicycle,none,sometimes,199,frequently,13,medium,5,17,6,15,0,1648,1,1,1,0,1,1,1,1,1
38,underweight,male,omnivore,less frequently,wood,walk/bicycle,none,never,94,rarely,32,small,6,15,5,17,1,1002,1,1,0,0,1,1,1,0,0
39,underweight,female,pescatarian,less frequently,coal,walk/bicycle,none,never,64,frequently,49,small,1,19,47,16,2,1771,1,0,0,1,1,1,1,1,1
40,overweight,female,omnivore,twice a day,electricity,public,bus,never,100,very frequently,1351,extra large,1,20,24,5,2,2028,1,0,1,1,1,1,1,0,1
41,normal,female,vegetarian,more frequently,coal,public,bus,often,240,very frequently,1726,medium,2,15,19,5,0,2540,1,1,0,0,0,0,0,1,1
42,underweight,female,omnivore,daily,electricity,public,bus,sometimes,245,never,1021,medium,7,14,48,10,0,1386,1,1,1,0,1,1,0,1,1
43,normal,female,pescatarian,daily,coal,walk/bicycle,none,sometimes,270,rarely,62,small,5,22,21,11,1,1679,0,0,0,1,1,1,1,1,1
44,overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,2,3141,1,0,0,0,0,0,0,0,0
45,normal,male,vegetarian,more frequently,wood,public,bus,never,87,very frequently,1037,large,4,0,11,24,0,2627,0,0,1,1,1,1,1,1,1
46,underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,2,1188,1,1,1,0,1,1,1,1,0
47,underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,2,3174,1,0,0,1,1,1,0,0,1
48,overweight,female,vegetarian,more frequently,natural gas,public,bus,sometimes,276,frequently,1461,large,7,19,5,12,1,2327,0,1,0,0,1,1,1,1,1
49,overweight,female,vegan,daily,wood,walk/bicycle,none,never,90,very frequently,39,medium,3,22,7,9,2,1822,0,1,1,1,0,0,1,1,1
50,obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,0,2665,0,1,1,1,0,0,0,1,1
51,underweight,male,vegan,daily,electricity,public,bus,sometimes,246,frequently,1065,extra large,4,22,43,7,2,2129,0,1,0,1,1,1,1,1,1
52,normal,male,pescatarian,less frequently,wood,public,bus,often,94,rarely,927,medium,5,18,10,21,2,1425,1,0,1,0,0,0,0,1,0
53,overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,1,1690,1,1,1,0,0,0,0,0,1
54,obese,female,omnivore,more frequently,natural gas,walk/bicycle,none,never,200,rarely,97,medium,7,13,18,0,1,1717,0,1,0,0,0,0,1,0,1
55,normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,0,4060,1,0,1,0,1,1,1,0,0
56,obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,14,18,17,0,3262,1,0,0,1,1,1,0,1,1
57,overweight,female,pescatarian,more frequently,coal,public,bus,often,73,rarely,1750,extra large,1,9,30,12,2,1674,1,0,1,0,1,1,1,1,1
58,obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,0,36,3,1,3135,0,1,0,0,0,0,1,1,1
59,underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,1,49,20,2,4465,1,0,0,1,1,1,1,0,1
60,overweight,male,pescatarian,twice a day,electricity,public,bus,never,256,rarely,1947,extra large,3,23,33,8,1,1984,0,0,0,0,0,0,0,0,1
61,overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,21,21,3,2,3246,0,1,0,1,1,1,1,0,1
62,obese,female,omnivore,daily,electricity,walk/bicycle,none,never,63,frequently,20,large,4,1,6,14,0,1351,1,1,1,1,1,1,1,1,1
63,obese,male,vegetarian,less frequently,coal,walk/bicycle,none,often,158,never,23,extra large,1,24,33,2,0,1929,1,0,0,0,0,0,0,0,1
64,obese,male,omnivore,twice a day,electricity,walk/bicycle,none,often,241,frequently,34,large,5,24,15,10,2,2719,0,0,0,0,1,1,1,1,0
65,obese,female,vegetarian,twice a day,coal,walk/bicycle,none,never,176,frequently,59,large,1,11,41,19,2,2336,0,0,1,0,0,0,0,1,1
66,normal,female,vegetarian,less frequently,wood,public,bus,often,189,never,682,small,6,0,35,3,1,1270,1,0,0,0,1,1,1,0,1
67,obese,female,vegetarian,less frequently,natural gas,walk/bicycle,none,often,214,never,10,large,6,20,12,24,2,1803,1,0,0,0,0,0,1,0,1
68,normal,female,vegan,daily,electricity,walk/bicycle,none,sometimes,264,very frequently,10,medium,1,7,22,17,1,1816,1,0,1,0,1,1,1,1,0
69,normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,16,43,9,0,4638,0,0,1,1,0,0,0,1,1
70,underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,16,8,22,1,1909,0,1,0,1,0,0,0,0,1
71,normal,male,vegan,less frequently,natural gas,public,bus,sometimes,280,frequently,536,large,2,2,30,1,2,2021,0,0,0,1,0,0,0,1,0
72,normal,male,omnivore,more frequently,natural gas,public,bus,never,125,rarely,1564,large,5,4,15,23,0,1896,0,1,0,0,0,0,1,1,0
73,obese,male,vegan,daily,electricity,walk/bicycle,none,never,188,frequently,78,small,4,11,21,3,0,1770,0,0,1,0,1,1,0,1,0
74,normal,female,omnivore,daily,wood,walk/bicycle,none,often,251,never,98,small,1,12,47,3,0,1323,0,1,1,1,0,0,1,0,1
75,normal,female,pescatarian,daily,wood,public,bus,never,285,very frequently,1820,small,1,21,24,9,2,2269,0,0,0,1,1,1,0,0,0
76,obese,male,vegan,more frequently,wood,public,bus,never,234,never,243,extra large,4,20,36,5,2,1918,1,1,0,1,1,1,0,1,1
77,overweight,female,vegan,daily,natural gas,public,bus,sometimes,91,very frequently,1586,small,7,8,43,2,2,2477,0,1,1,1,0,0,1,1,1
78,normal,female,omnivore,daily,natural gas,walk/bicycle,none,never,118,frequently,11,large,3,6,10,16,0,1444,0,0,1,0,0,0,0,1,1
79,obese,female,vegetarian,twice a day,natural gas,walk/bicycle,none,never,75,never,72,small,5,15,42,16,1,1254,1,0,1,1,1,1,0,0,1
80,overweight,male,vegetarian,more frequently,electricity,public,bus,never,134,never,1157,small,5,19,35,10,0,1411,1,0,0,0,1,1,0,1,0
81,underweight,male,pescatarian,daily,wood,public,bus,often,282,never,1380,extra large,4,7,11,8,0,1605,1,0,0,1,1,1,0,0,0
82,obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,0,3054,0,0,1,0,0,0,0,1,1
83,overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,none,never,202,very frequently,92,extra large,6,9,16,14,2,2902,0,0,0,0,1,1,0,0,0
84,overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,2,4301,1,0,0,1,0,0,0,1,1
85,normal,female,vegan,twice a day,electricity,walk/bicycle,none,often,223,very frequently,50,small,3,12,35,22,2,2308,0,0,0,1,1,1,1,1,0
86,normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,0,4132,1,1,0,1,1,1,0,0,0
87,overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,0,2993,1,1,1,0,0,0,0,1,1
88,overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,2,3098,0,0,1,1,0,0,0,0,0
89,overweight,female,vegan,twice a day,coal,walk/bicycle,none,sometimes,236,rarely,42,extra large,2,19,15,10,2,1364,0,1,0,1,0,0,0,0,0
90,normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,2,2941,1,0,1,1,1,1,1,0,1
91,overweight,female,vegetarian,more frequently,electricity,walk/bicycle,none,never,249,frequently,41,large,4,6,2,4,1,1349,0,0,1,0,0,0,1,0,0
92,overweight,female,pescatarian,daily,natural gas,walk/bicycle,none,often,213,never,71,medium,1,24,17,16,2,1038,1,0,0,1,0,0,1,0,0
93,obese,male,vegetarian,twice a day,wood,walk/bicycle,none,never,81,never,39,medium,7,16,31,15,0,1815,1,0,0,1,0,0,0,0,0
94,overweight,female,vegetarian,more frequently,coal,walk/bicycle,none,never,91,very frequently,50,extra large,1,13,29,24,0,2566,1,1,0,0,1,1,1,1,1
95,overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,1,2439,1,1,0,1,0,0,1,1,1
96,obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,2,2056,0,1,0,1,0,0,0,1,1
97,overweight,female,pescatarian,more frequently,natural gas,public,bus,often,89,very frequently,631,medium,7,2,0,18,1,2299,1,1,1,1,1,1,1,0,0
98,overweight,male,vegan,twice a day,electricity,public,bus,never,121,rarely,194,large,6,15,16,18,1,1492,0,1,0,1,1,1,0,0,1
99,underweight,female,omnivore,daily,coal,walk/bicycle,none,often,198,rarely,46,medium,1,12,45,17,0,1692,1,0,1,1,0,0,1,1,0
100,obese,male,vegetarian,more frequently,wood,walk/bicycle,none,never,234,frequently,37,extra large,3,15,29,3,2,2581,0,0,1,0,1,1,1,0,0
101,overweight,male,vegetarian,less frequently,wood,walk/bicycle,none,sometimes,84,rarely,31,large,2,0,1,1,1,950,1,1,0,0,1,1,0,0,0
102,normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,1,1923,1,0,1,1,1,1,1,1,0
103,overweight,female,pescatarian,less frequently,wood,walk/bicycle,none,often,275,never,6,extra large,2,19,49,19,2,1751,0,0,1,0,0,0,0,0,1
104,underweight,female,pescatarian,more frequently,coal,walk/bicycle,none,sometimes,228,very frequently,40,small,6,1,35,7,1,2562,1,0,0,0,0,0,1,0,1
105,overweight,male,vegan,more frequently,wood,walk/bicycle,none,never,140,frequently,1,large,6,9,24,24,0,2456,0,0,1,1,1,1,1,1,0
106,overweight,female,vegetarian,more frequently,electricity,public,bus,sometimes,232,never,1341,extra large,1,22,8,1,1,657,1,1,0,1,0,0,0,1,1
107,normal,female,pescatarian,twice a day,electricity,public,bus,often,115,very frequently,393,small,3,21,13,9,0,1758,0,1,1,0,0,0,1,0,1
108,obese,female,vegan,daily,natural gas,public,bus,never,157,frequently,191,medium,4,2,44,12,1,2184,1,0,0,1,0,0,1,0,0
109,obese,female,pescatarian,twice a day,coal,public,bus,sometimes,156,very frequently,131,extra large,1,14,20,23,0,3009,1,0,1,0,1,1,1,1,1
110,underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,2,3748,1,0,0,1,1,1,0,1,0
111,normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,0,1122,0,0,0,0,0,0,1,0,0
112,obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,0,2810,0,1,0,1,0,0,1,1,0
113,overweight,female,omnivore,daily,electricity,walk/bicycle,none,never,214,never,87,medium,3,24,32,23,0,1346,0,0,0,1,0,0,1,0,0
114,underweight,female,vegan,twice a day,natural gas,walk/bicycle,none,never,126,rarely,3,small,5,15,3,12,2,671,0,1,1,1,0,0,0,1,1
115,underweight,female,omnivore,twice a day,wood,walk/bicycle,none,often,91,frequently,13,extra large,1,19,44,16,2,1695,1,0,1,0,0,0,1,0,0
116,normal,female,omnivore,more frequently,electricity,walk/bicycle,none,never,205,never,74,large,3,6,2,19,0,810,0,1,0,1,0,0,1,1,0
117,underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,1,33,4,2,2768,0,0,1,0,1,1,0,1,1
118,underweight,female,vegan,more frequently,natural gas,public,bus,never,178,never,993,large,7,11,2,13,1,1033,1,0,1,1,0,0,1,0,0
119,obese,female,omnivore,twice a day,coal,public,bus,sometimes,236,rarely,1997,large,4,6,17,6,0,2046,1,0,1,1,1,1,0,1,0
120,obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,23,30,22,0,2171,1,1,0,0,1,1,1,1,1
121,normal,female,vegetarian,daily,coal,walk/bicycle,none,often,108,rarely,5,medium,7,21,0,4,2,1312,0,0,1,1,0,0,1,1,1
122,obese,male,vegan,twice a day,wood,public,bus,sometimes,76,rarely,941,large,1,24,3,18,0,1209,0,1,0,1,0,0,0,1,1
123,underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,7,37,9,1,4017,0,1,0,0,0,0,1,0,0
124,normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,13,10,10,0,877,1,1,1,1,0,0,1,0,1
125,obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,8,16,20,2,1856,0,0,1,0,0,0,1,0,0
126,obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,20,31,12,0,2197,1,1,0,0,0,0,1,0,0
127,obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,15,10,18,1,4281,0,0,1,1,0,0,0,1,1
128,underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,17,3,24,2,3480,1,0,0,0,1,1,0,1,0
129,underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,none,often,189,never,19,medium,1,22,36,7,1,953,1,1,1,0,0,0,1,1,1
130,underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,9,44,21,2,2046,0,1,0,1,1,1,1,0,0
131,obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,12,37,5,1,2521,1,1,0,1,1,1,1,1,1
132,overweight,male,omnivore,twice a day,wood,public,bus,never,238,very frequently,1431,large,6,1,33,3,2,3551,0,0,1,0,1,1,0,1,0
133,normal,male,pescatarian,twice a day,wood,public,bus,sometimes,101,never,1978,medium,3,14,36,11,2,1459,0,0,1,1,1,1,0,0,0
134,underweight,male,vegan,daily,electricity,walk/bicycle,none,sometimes,99,very frequently,92,extra large,2,8,29,18,0,2492,1,0,0,0,1,1,1,0,1
135,obese,male,omnivore,daily,coal,walk/bicycle,none,often,50,frequently,82,large,1,10,23,16,0,2411,1,1,0,0,1,1,1,1,1
136,obese,female,pescatarian,daily,coal,public,bus,never,71,very frequently,1851,large,7,15,0,20,2,2761,1,0,1,1,0,0,0,0,1
137,underweight,female,vegetarian,twice a day,wood,public,bus,sometimes,232,rarely,1224,extra large,3,7,26,9,1,1500,0,1,0,1,1,1,1,1,1
138,overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8219,extra large,5,18,2,5,1,1708,1,0,0,0,0,0,0,1,1
139,obese,female,omnivore,less frequently,coal,public,bus,sometimes,222,never,1390,extra large,4,19,2,7,0,1717,0,1,0,0,1,1,1,0,0
140,overweight,male,vegan,less frequently,wood,public,bus,sometimes,61,frequently,434,medium,1,23,41,14,0,2135,0,0,1,1,0,0,1,1,1
141,underweight,male,vegan,less frequently,wood,private,hybrid,sometimes,137,never,7460,small,6,5,11,20,1,2042,0,0,1,1,1,1,0,0,0
142,normal,female,vegan,more frequently,wood,walk/bicycle,none,never,157,rarely,15,small,1,20,50,18,1,1221,0,1,1,0,1,1,0,0,0
143,underweight,male,vegetarian,less frequently,natural gas,private,diesel,never,174,very frequently,4686,extra large,2,0,47,2,0,3473,1,0,1,1,0,0,1,0,0
144,normal,female,vegetarian,daily,electricity,walk/bicycle,none,often,214,never,88,large,5,12,39,21,1,1378,1,1,0,1,0,0,1,1,0
145,normal,female,pescatarian,less frequently,electricity,walk/bicycle,none,sometimes,214,very frequently,40,extra large,2,21,43,2,2,2135,0,1,1,1,1,1,1,0,0
146,normal,male,pescatarian,more frequently,wood,walk/bicycle,none,never,66,never,56,small,6,11,49,20,0,1464,1,0,1,0,0,0,0,1,0
147,overweight,female,vegan,less frequently,coal,walk/bicycle,none,sometimes,123,very frequently,14,extra large,6,22,2,22,2,2816,0,1,0,1,0,0,1,1,1
148,normal,male,vegan,less frequently,wood,public,bus,sometimes,105,very frequently,108,medium,1,17,19,11,0,2210,0,0,1,1,0,0,0,0,1
149,obese,female,omnivore,less frequently,natural gas,private,electric,often,125,never,5168,small,3,1,40,17,0,1552,0,0,1,1,0,0,0,1,1
150,normal,male,vegan,more frequently,coal,private,petrol,never,280,frequently,672,small,3,24,34,18,0,2406,0,1,1,1,0,0,0,0,1
151,obese,female,vegan,less frequently,natural gas,walk/bicycle,none,sometimes,238,very frequently,94,extra large,3,17,21,22,1,3004,0,1,0,0,1,1,1,1,1
152,obese,female,vegetarian,daily,wood,private,petrol,sometimes,270,rarely,3114,large,3,14,5,10,1,2540,0,0,1,0,1,1,1,1,1
153,normal,female,vegetarian,twice a day,natural gas,private,lpg,never,80,rarely,7134,extra large,2,5,8,5,2,2424,0,1,1,1,0,0,1,1,0
154,overweight,female,vegan,more frequently,coal,private,diesel,sometimes,276,rarely,8609,extra large,6,6,14,20,2,4000,0,0,1,1,0,0,0,1,0
155,normal,female,omnivore,less frequently,natural gas,public,bus,often,210,never,852,extra large,1,16,32,10,0,1288,0,1,1,0,0,0,1,1,1
156,obese,male,vegetarian,less frequently,natural gas,public,bus,never,270,rarely,1673,medium,6,16,50,14,2,2317,1,1,1,0,1,1,0,1,0
157,normal,female,vegetarian,more frequently,coal,public,bus,often,152,very frequently,1564,large,7,9,17,15,2,2730,1,1,0,1,0,0,0,0,0
158,normal,female,vegan,more frequently,wood,walk/bicycle,none,often,247,rarely,74,small,7,3,17,22,2,1371,1,0,0,0,0,0,0,0,1
159,normal,female,omnivore,daily,natural gas,private,petrol,sometimes,145,rarely,2885,small,4,3,33,21,1,2349,1,0,0,1,1,1,0,0,1
160,normal,male,vegan,twice a day,natural gas,private,petrol,never,260,rarely,8130,large,7,7,27,0,1,4536,0,1,0,1,0,0,0,1,0
161,overweight,female,vegetarian,twice a day,wood,public,bus,often,283,very frequently,228,extra large,3,2,40,17,0,2987,1,1,0,1,0,0,1,1,1
162,normal,female,vegetarian,more frequently,wood,public,bus,sometimes,277,never,1162,medium,4,1,20,7,1,1039,0,1,1,0,0,0,1,1,0
163,normal,male,pescatarian,less frequently,wood,public,bus,never,203,never,71,medium,2,10,24,12,0,1036,1,0,1,1,0,0,1,1,0
164,obese,female,omnivore,twice a day,natural gas,private,diesel,never,213,frequently,6337,extra large,4,13,1,0,1,3620,0,0,0,0,1,1,1,0,0
165,normal,male,vegan,more frequently,natural gas,public,bus,never,135,rarely,1649,small,4,8,21,2,1,1009,0,1,1,1,0,0,1,0,1
166,underweight,female,omnivore,daily,natural gas,private,diesel,often,96,very frequently,6159,small,2,6,5,19,2,2895,1,1,0,1,1,1,1,1,1
167,overweight,male,omnivore,more frequently,electricity,private,diesel,sometimes,162,never,9884,extra large,1,21,32,21,2,4294,0,0,0,1,1,1,1,1,0
168,normal,male,vegan,more frequently,wood,private,hybrid,sometimes,233,frequently,4060,extra large,7,13,46,7,0,3429,1,1,0,0,0,0,1,1,0
169,underweight,female,omnivore,daily,natural gas,walk/bicycle,none,sometimes,262,rarely,68,medium,7,11,13,9,2,1334,1,0,1,0,1,1,0,0,0
170,overweight,male,pescatarian,less frequently,wood,walk/bicycle,none,never,176,very frequently,5,large,7,13,34,16,0,3697,1,0,0,0,1,1,0,0,0
171,normal,female,pescatarian,twice a day,natural gas,public,bus,often,176,rarely,702,small,4,7,31,18,1,1494,0,1,0,0,0,0,1,1,0
172,underweight,male,vegan,less frequently,coal,walk/bicycle,none,sometimes,147,very frequently,2,extra large,4,1,14,17,0,2779,0,1,0,1,0,0,1,0,1
173,overweight,female,omnivore,less frequently,coal,walk/bicycle,none,often,83,rarely,42,small,1,7,0,1,0,993,1,1,0,1,0,0,1,1,0
174,normal,female,omnivore,less frequently,coal,public,bus,never,205,never,274,extra large,5,20,32,0,1,1944,0,0,0,1,1,1,0,1,1
175,normal,female,omnivore,less frequently,coal,public,bus,often,125,frequently,590,small,3,1,3,1,0,1474,0,1,0,1,1,1,0,0,1
176,overweight,male,vegetarian,twice a day,natural gas,private,diesel,often,145,frequently,84,small,1,1,5,22,2,1880,0,0,0,0,0,0,1,1,0
177,normal,female,pescatarian,less frequently,coal,private,diesel,often,236,frequently,6908,large,3,15,8,17,2,3535,0,0,0,0,1,1,0,0,0
178,underweight,female,omnivore,daily,wood,walk/bicycle,none,often,101,rarely,52,medium,7,17,45,17,1,1644,1,0,1,1,0,0,1,1,1
179,obese,female,vegetarian,more frequently,natural gas,private,lpg,never,77,frequently,121,extra large,2,2,0,3,1,1268,1,1,1,0,1,1,1,1,0
180,obese,male,omnivore,less frequently,natural gas,walk/bicycle,none,never,241,rarely,30,small,7,19,14,19,1,1529,0,1,1,0,0,0,0,0,0
181,obese,male,vegan,twice a day,electricity,public,bus,never,124,rarely,1336,extra large,4,10,34,20,2,2076,1,0,0,0,0,0,0,0,1
182,obese,male,omnivore,less frequently,electricity,walk/bicycle,none,often,82,never,89,large,4,5,49,10,1,1850,1,0,0,0,0,0,0,0,0
183,normal,male,pescatarian,less frequently,natural gas,public,bus,never,262,never,1412,small,6,10,7,19,1,1000,0,1,1,1,0,0,0,0,0
184,obese,male,vegetarian,twice a day,electricity,walk/bicycle,none,never,254,never,4,small,3,6,34,13,1,1485,0,0,0,0,1,1,1,0,0
